Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Chris Deotte,1,grandmaster,https://www.kaggle.com/cdeotte,71,17,3,"4,949",5 years ago,"San Diego, California, United States",53.0,103.0,93,"7,910",,1.0,Competitions Grandmaster
Marília Prata,2,master,https://www.kaggle.com/mpwolke,12,39,448,"3,614",4 years ago,"Rio de Janeiro, State of Rio de Janeiro, Brazil",21.0,227.0,"1,820","18,274",,2.0,Discussion Grandmaster
Abhishek Thakur,3,grandmaster,https://www.kaggle.com/abhishek,65,28,24,"3,176",12 years ago,"Stavanger, Rogaland, Norway",229.0,106.0,137,"2,305",1.0,3.0,Competitions Grandmaster
AmbrosM,4,grandmaster,https://www.kaggle.com/ambrosm,28,8,8,"2,739",a year ago,,14.0,2.0,44,634,,4.0,Notebooks Grandmaster
Y.Nakama,5,grandmaster,https://www.kaggle.com/yasufuminakama,37,9,6,"2,629",5 years ago,"Tokyo, Tokyo, Japan",65.0,20.0,55,400,4.0,5.0,Competitions Grandmaster
Jeremy Howard,6,grandmaster,https://www.kaggle.com/jhoward,23,4,1,"2,247",12 years ago,"Brisbane, Queensland, Australia",19.0,7.0,28,320,,6.0,Competitions Grandmaster
Awsaf,7,grandmaster,https://www.kaggle.com/awsaf49,28,5,12,"2,202",3 years ago,"Dhaka, Dhaka Division, Bangladesh",26.0,149.0,57,706,5.0,7.0,Notebooks Grandmaster
Andrada Olteanu,8,grandmaster,https://www.kaggle.com/andradaolteanu,36,7,3,"2,122",3 years ago,"Bucharest, Bucharest, Romania",10.0,33.0,46,331,5.0,8.0,Notebooks Grandmaster
DanB,9,grandmaster,https://www.kaggle.com/dansbecker,43,11,28,"1,957",12 years ago,"Golden, Colorado, United States",19.0,19.0,190,613,2.0,10.0,Notebooks Grandmaster
Darien Schettler,10,grandmaster,https://www.kaggle.com/dschettler8845,18,21,50,"1,936",5 years ago,"London, Ontario, Canada",36.0,146.0,125,"1,054",,9.0,Notebooks Grandmaster
Rob Mulla,11,grandmaster,https://www.kaggle.com/robikscube,29,21,61,"1,751",6 years ago,"Washington, District of Columbia, United States",97.0,60.0,154,"1,240",5.0,11.0,Competitions Grandmaster
Sanskar Hasija,12,grandmaster,https://www.kaggle.com/odins0n,24,14,2,"1,691",2 years ago,"Pune, Maharashtra, India",37.0,22.0,40,"1,122",10.0,12.0,Datasets Grandmaster
DATAI,13,grandmaster,https://www.kaggle.com/kanncaa1,20,7,6,"1,601",5 years ago,"Istanbul, Istanbul, Turkey",,,33,853,4.0,13.0,Notebooks Grandmaster
dataista0 (Julián Peller),14,grandmaster,https://www.kaggle.com/julian3833,20,13,20,"1,502",5 years ago,"Buenos Aires, Buenos Aires, Argentina",18.0,79.0,56,286,6.0,14.0,Notebooks Grandmaster
Prashant Banerjee,15,grandmaster,https://www.kaggle.com/prashant111,34,9,0,"1,484",4 years ago,"Gurugram, Haryana, India",9.0,25.0,43,908,,15.0,Notebooks Grandmaster
Carl McBride Ellis,16,grandmaster,https://www.kaggle.com/carlmcbrideellis,18,28,62,"1,474",3 years ago,"Madrid, Community of Madrid, Spain",36.0,14.0,149,"2,010",8.0,16.0,Notebooks Grandmaster
Martin Kovacevic Buvinic,17,grandmaster,https://www.kaggle.com/ragnar123,25,18,12,"1,456",5 years ago,"Santiago, Santiago Metropolitan Region, Chile",56.0,92.0,63,595,11.0,17.0,Notebooks Grandmaster
Remek Kinas,18,grandmaster,https://www.kaggle.com/remekkinas,18,17,4,"1,396",3 years ago,"Warsaw, Masovian Voivodeship, Poland",20.0,15.0,41,"1,818",10.0,18.0,Notebooks Grandmaster
torch,19,grandmaster,https://www.kaggle.com/rhtsingh,16,4,17,"1,347",5 years ago,,34.0,14.0,41,450,9.0,19.0,Notebooks Grandmaster
The Devastator,20,grandmaster,https://www.kaggle.com/thedevastator,15,6,8,"1,333",5 months ago,,19.0,76.0,35,"3,886",19.0,20.0,Notebooks Grandmaster
Tensor Girl,21,grandmaster,https://www.kaggle.com/usharengaraju,21,0,0,"1,284",7 years ago,"Bengaluru, Karnataka, India",66.0,35.0,21,"1,503",14.0,21.0,Datasets Grandmaster
stpete_ishii,22,expert,https://www.kaggle.com/stpeteishii,0,2,95,"1,237",4 years ago,"Kobe, Hyogo, Japan",56.0,24.0,"1,218",291,,22.0,Datasets Expert
Samuel Cortinhas,23,master,https://www.kaggle.com/samuelcortinhas,9,10,34,"1,231",a year ago,,19.0,19.0,58,641,22.0,23.0,Notebooks Master
Vitalii Mokin,24,grandmaster,https://www.kaggle.com/vbmokin,20,17,77,"1,223",5 years ago,"Vinnytsia, Vinnytsia Oblast, Ukraine",65.0,19.0,158,541,10.0,24.0,Notebooks Grandmaster
chumajin,25,grandmaster,https://www.kaggle.com/chumajin,19,5,7,"1,198",3 years ago,"Yokohama, Kanagawa, Japan",53.0,29.0,36,334,16.0,25.0,Notebooks Grandmaster
Lucas Morin,26,grandmaster,https://www.kaggle.com/lucasmorin,15,17,30,"1,196",3 years ago,"Paris, Île-de-France, France",18.0,7.0,66,963,26.0,27.0,Notebooks Grandmaster
Subin An,27,grandmaster,https://www.kaggle.com/subinium,25,13,44,"1,193",4 years ago,"Seoul, Seoul, South Korea",16.0,6.0,90,654,9.0,26.0,Notebooks Grandmaster
Mr_KnowNothing,28,grandmaster,https://www.kaggle.com/tanulsingh077,17,5,6,"1,188",4 years ago,"California City, California, United States",42.0,33.0,30,695,8.0,28.0,Notebooks Grandmaster
Debarshi Chanda,29,grandmaster,https://www.kaggle.com/debarshichanda,15,17,10,"1,185",3 years ago,"Navi Mumbai, Maharashtra, India",31.0,9.0,53,538,24.0,29.0,Notebooks Grandmaster
OH SEOK KIM,30,grandmaster,https://www.kaggle.com/ohseokkim,20,12,5,"1,137",2 years ago,"Hwaseong-si, Gyeonggi-do, South Korea",3.0,4.0,37,"2,405",17.0,30.0,Notebooks Grandmaster
Gunes Evitan,31,master,https://www.kaggle.com/gunesevitan,12,10,12,"1,115",4 years ago,"Ankara, Ankara, Turkey",33.0,2.0,37,"1,190",24.0,31.0,Discussion Grandmaster
SRK,32,grandmaster,https://www.kaggle.com/sudalairajkumar,30,15,23,"1,102",10 years ago,"Chennai, Tamil Nadu, India",113.0,17.0,82,800,1.0,32.0,Competitions Grandmaster
Andrew Lukyanenko,33,grandmaster,https://www.kaggle.com/artgor,43,24,24,"1,095",6 years ago,"Dubai, Dubai, United Arab Emirates",88.0,13.0,100,"1,630",1.0,33.0,Notebooks Grandmaster
Hasan Basri Akçay,34,master,https://www.kaggle.com/hasanbasriakcay,14,15,9,"1,081",3 years ago,"Antalya, Antalya, Turkey",18.0,9.0,38,888,,34.0,Notebooks Master
Konrad Banachewicz,35,master,https://www.kaggle.com/konradb,13,19,35,"1,061",12 years ago,"Haarlem, North Holland, Netherlands",117.0,76.0,83,"1,307",,35.0,Discussion Grandmaster
Azmine Toushik Wasi,36,grandmaster,https://www.kaggle.com/azminetoushikwasi,15,2,0,"1,055",2 years ago,"Burichang, Chittagong Division, Bangladesh",4.0,13.0,17,199,,36.0,Notebooks Grandmaster
Yaroslav Isaienkov,37,grandmaster,https://www.kaggle.com/ihelon,18,3,14,"1,053",5 years ago,"Vinnytsia, Vinnytsia Oblast, Ukraine",33.0,9.0,35,412,13.0,37.0,Notebooks Grandmaster
Gabriel Preda,38,grandmaster,https://www.kaggle.com/gpreda,32,30,68,"1,043",6 years ago,"Bucharest, Bucharest, Romania",104.0,114.0,254,"1,416",3.0,38.0,Datasets Grandmaster
tito,39,grandmaster,https://www.kaggle.com/its7171,20,4,5,"1,016",7 years ago,"Tokyo, Tokyo, Japan",44.0,10.0,29,290,11.0,40.0,Competitions Grandmaster
Bojan Tunguz,40,grandmaster,https://www.kaggle.com/tunguz,24,54,166,"1,006",7 years ago,"Greencastle, Indiana, United States",242.0,133.0,585,"1,442",5.0,41.0,Competitions Grandmaster
Luo,41,master,https://www.kaggle.com/ryanluoli2,13,7,2,"1,003",6 months ago,"London, England, United Kingdom",18.0,5.0,22,595,,39.0,Notebooks Master
Alexander Ryzhkov,42,grandmaster,https://www.kaggle.com/alexryzhkov,16,7,24,986,11 years ago,"Moscow, Russia",97.0,8.0,53,346,40.0,42.0,Competitions Grandmaster
Leonie,43,grandmaster,https://www.kaggle.com/iamleonie,19,5,12,981,3 years ago,"Frankfurt, Hesse, Germany",10.0,1.0,37,227,31.0,43.0,Notebooks Grandmaster
raddar,44,grandmaster,https://www.kaggle.com/raddar,16,12,11,972,7 years ago,"Vilnius, Vilnius County, Lithuania",68.0,26.0,47,"1,044",18.0,44.0,Competitions Grandmaster
xhlulu,45,grandmaster,https://www.kaggle.com/xhlulu,31,17,37,970,4 years ago,,37.0,104.0,120,822,5.0,45.0,Datasets Grandmaster
Ruchi Bhatia,46,grandmaster,https://www.kaggle.com/ruchi798,21,4,0,965,3 years ago,"Pittsburgh, Pennsylvania, United States",20.0,44.0,25,531,25.0,47.0,Datasets Grandmaster
Mustanger,47,grandmaster,https://www.kaggle.com/eisgandar,15,1,10,964,5 months ago,,2.0,11.0,26,"1,588",,46.0,Notebooks Grandmaster
Vopani,48,grandmaster,https://www.kaggle.com/rohanrao,18,11,7,961,9 years ago,"Bengaluru, Karnataka, India",62.0,18.0,77,670,10.0,49.0,Competitions Grandmaster
Gaurav Dutta,49,expert,https://www.kaggle.com/gauravduttakiit,0,4,96,956,3 years ago,"Hyderabad, Telangana, India",111.0,384.0,"2,339",440,47.0,48.0,Datasets Expert
Karnika Kapoor,50,grandmaster,https://www.kaggle.com/karnikakapoor,15,0,0,934,3 years ago,"Dubai, Dubai, United Arab Emirates",2.0,7.0,15,"2,812",40.0,50.0,Notebooks Grandmaster
Ammar Alhaj Ali,51,grandmaster,https://www.kaggle.com/ammarnassanalhajali,15,12,22,932,2 years ago,"Hawally, Hawalli Governorate, Kuwait",17.0,25.0,87,315,30.0,51.0,Notebooks Grandmaster
Shivam Bansal,52,grandmaster,https://www.kaggle.com/shivamb,27,11,30,925,5 years ago,"Singapore, Singapore",14.0,54.0,80,977,2.0,52.0,Datasets Grandmaster
Georgy Zubkov,53,grandmaster,https://www.kaggle.com/georgyzubkov,15,2,4,914,2 years ago,"Moscow, Russia",,5.0,21,"2,137",,53.0,Notebooks Grandmaster
Parul Pandey,54,grandmaster,https://www.kaggle.com/parulpandey,18,17,16,909,7 years ago,"Hyderabad, Telangana, India",9.0,21.0,52,281,7.0,54.0,Notebooks Grandmaster
Mario Caesar,55,grandmaster,https://www.kaggle.com/caesarmario,16,2,0,900,3 years ago,"Jakarta, Jakarta, Indonesia",2.0,5.0,18,"3,576",53.0,56.0,Notebooks Grandmaster
Heads or Tails,56,grandmaster,https://www.kaggle.com/headsortails,23,0,0,898,6 years ago,"Boston, Massachusetts, United States",55.0,12.0,23,"2,258",1.0,57.0,Notebooks Grandmaster
Rachael Tatman,57,grandmaster,https://www.kaggle.com/rtatman,34,29,63,896,5 years ago,"Seattle, Washington, United States",,107.0,271,"2,191",10.0,55.0,Datasets Grandmaster
Afroz,58,grandmaster,https://www.kaggle.com/pythonafroz,15,1,1,876,a year ago,,,10.0,18,"2,193",,58.0,Notebooks Grandmaster
Devlikamov Vlad,59,grandmaster,https://www.kaggle.com/lordozvlad,16,0,0,873,2 years ago,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia",19.0,,16,"2,191",37.0,59.0,Notebooks Grandmaster
Matt OP,60,master,https://www.kaggle.com/mattop,2,15,37,848,5 months ago,"Philadelphia, Pennsylvania, United States",5.0,27.0,60,"1,374",60.0,61.0,Notebooks Master
Theo Viel,61,grandmaster,https://www.kaggle.com/theoviel,15,15,10,847,4 years ago,"Paris, Île-de-France, France",58.0,61.0,44,813,27.0,62.0,Competitions Grandmaster
Devashree Madhugiri,62,master,https://www.kaggle.com/devsubhash,8,13,14,835,3 years ago,"Pune, Maharashtra, India",19.0,5.0,46,878,,60.0,Notebooks Master
Sandeep Bansode,63,master,https://www.kaggle.com/bansodesandeep,14,0,1,829,4 months ago,"Pune, Maharashtra, India",2.0,12.0,16,"1,087",63.0,64.0,Notebooks Master
Tetsuya Sasaki,64,expert,https://www.kaggle.com/sasakitetsuya,0,5,104,821,2 years ago,"Saitama, Saitama, Japan",6.0,2.0,206,542,,63.0,Notebooks Expert
Ahmet Erdem,65,grandmaster,https://www.kaggle.com/aerdem4,15,17,20,817,7 years ago,"İstanbul, İstanbul, Turkey",101.0,42.0,60,875,47.0,67.0,Competitions Grandmaster
ootake,66,master,https://www.kaggle.com/ootake,12,16,5,816,a year ago,,9.0,1.0,33,213,58.0,66.0,Notebooks Master
Rohan Ambad,67,grandmaster,https://www.kaggle.com/rohanambad,15,0,2,805,3 months ago,"Pune, Maharashtra, India",1.0,17.0,18,"1,347",67.0,68.0,Notebooks Grandmaster
ilovescience,68,grandmaster,https://www.kaggle.com/tanlikesmath,16,8,17,794,6 years ago,"Sacramento, California, United States",38.0,8.0,91,575,55.0,69.0,Notebooks Grandmaster
Vladimir Slaykovskiy,69,master,https://www.kaggle.com/vslaykovsky,6,4,8,790,6 years ago,"London, England, United Kingdom",9.0,18.0,23,46,,65.0,Notebooks Master
Aleksey Bilogur,70,grandmaster,https://www.kaggle.com/residentmario,19,15,48,789,6 years ago,"New York, New York, United States",1.0,44.0,230,675,12.0,70.0,Notebooks Grandmaster
Kelli Belcher,71,master,https://www.kaggle.com/kellibelcher,8,4,1,779,2 years ago,"Vancouver, British Columbia, Canada",6.0,,13,353,62.0,71.0,Notebooks Master
Fares Sayah,72,master,https://www.kaggle.com/faressayah,12,17,16,775,3 years ago,"Setif, Sétif Province, Algeria",44.0,4.0,45,572,45.0,72.0,Notebooks Master
Luca Massaron,73,master,https://www.kaggle.com/lucamassaron,9,11,27,774,11 years ago,"Verona, Veneto, Italy",225.0,6.0,87,901,43.0,73.0,Discussion Grandmaster
Hidehisa Arai,74,grandmaster,https://www.kaggle.com/hidehisaarai1213,15,4,10,764,5 years ago,"Tokyo, Tokyo, Japan",30.0,66.0,41,417,23.0,75.0,Competitions Grandmaster
Yassine Ghouzam,75,expert,https://www.kaggle.com/yassineghouzam,4,0,2,762,5 years ago,"Paris, Île-de-France, France",5.0,,6,24,17.0,77.0,Notebooks Expert
Andrey Shtrauss,76,grandmaster,https://www.kaggle.com/shtrausslearning,18,5,1,761,2 years ago,"Saint Petersburg, Russia",21.0,12.0,24,430,59.0,74.0,Notebooks Grandmaster
AndresHG,77,grandmaster,https://www.kaggle.com/andreshg,16,6,2,759,3 years ago,"Madrid, Community of Madrid, Spain",7.0,4.0,25,"1,640",27.0,76.0,Notebooks Grandmaster
BIZEN,78,master,https://www.kaggle.com/hiro5299834,5,18,18,757,8 years ago,,103.0,1.0,42,172,54.0,78.0,Notebooks Master
Laura Fink,79,grandmaster,https://www.kaggle.com/allunia,20,10,3,745,7 years ago,"Cologne, North Rhine-Westphalia, Germany",25.0,23.0,39,254,18.0,79.0,Notebooks Grandmaster
Ishan Dutta,80,master,https://www.kaggle.com/ishandutta,8,11,8,729,3 years ago,"Gurugram, Haryana, India",17.0,27.0,29,458,69.0,80.0,Notebooks Master
Tanay Mehta,81,grandmaster,https://www.kaggle.com/heyytanay,15,12,30,719,3 years ago,"Jaipur, Rajasthan, India",18.0,16.0,66,582,54.0,83.0,Notebooks Grandmaster
Vadim Irtlach,82,master,https://www.kaggle.com/vad13irt,2,13,11,718,2 years ago,,31.0,18.0,35,"1,388",80.0,81.0,Discussion Grandmaster
Muhammad Ahmed,83,grandmaster,https://www.kaggle.com/muhammadahmed68,15,0,0,716,2 years ago,"Sydney, New South Wales, Australia",,,15,"1,485",64.0,82.0,Notebooks Grandmaster
Alex Shonenkov,84,grandmaster,https://www.kaggle.com/shonenkov,18,5,6,708,4 years ago,"Dubai, Dubai, United Arab Emirates",17.0,38.0,31,266,5.0,86.0,Notebooks Grandmaster
Ertuğrul Demir,85,grandmaster,https://www.kaggle.com/datafan07,17,2,5,707,3 years ago,"İstanbul, İstanbul, Turkey",29.0,70.0,25,416,44.0,85.0,Notebooks Grandmaster
Zahra Amini,86,master,https://www.kaggle.com/aminizahra,5,25,9,700,a year ago,"Shahrbabak, Kerman Province, Iran",1.0,17.0,39,"1,623",70.0,87.0,Notebooks Master
Jirka Borovec,87,master,https://www.kaggle.com/jirkaborovec,3,16,27,696,2 years ago,"Prague, Prague, Czechia",18.0,12.0,66,197,82.0,90.0,Notebooks Master
Darek Kłeczek,88,master,https://www.kaggle.com/thedrcat,9,10,14,695,5 years ago,"Warsaw, Masovian Voivodeship, Poland",29.0,15.0,64,408,51.0,92.0,Competitions Master
Janio Martinez Bachmann,89,grandmaster,https://www.kaggle.com/janiobachmann,15,3,1,693,5 years ago,,,3.0,19,"1,680",42.0,91.0,Notebooks Grandmaster
VinceVence,90,master,https://www.kaggle.com/vencerlanz09,6,5,13,693,4 years ago,"Iloilo City, Western Visayas, Philippines",1.0,13.0,23,"1,016",,84.0,Datasets Master
ColinMorris,91,master,https://www.kaggle.com/colinmorris,11,6,10,691,7 years ago,"Toronto, Ontario, Canada",2.0,3.0,49,221,26.0,93.0,Notebooks Master
Ms. Nancy Al Aswad,92,master,https://www.kaggle.com/nancyalaswad90,7,11,9,690,4 years ago,"Amman, Amman Governorate, Jordan",1.0,10.0,31,"2,547",,89.0,Datasets Grandmaster
mugen88,93,grandmaster,https://www.kaggle.com/mugentk,18,9,12,688,3 years ago,"Osaka, Osaka, Japan",32.0,10.0,39,822,59.0,94.0,Datasets Grandmaster
Batucan Senkal,94,master,https://www.kaggle.com/psycon,5,12,2,685,2 years ago,"İstanbul, İstanbul, Turkey",6.0,21.0,19,17,87.0,88.0,Datasets Master
blue7red,95,expert,https://www.kaggle.com/rhythmcam,0,1,53,684,a year ago,"Seoul, Seoul, South Korea",47.0,39.0,809,8,61.0,95.0,Datasets Expert
Shahules,96,grandmaster,https://www.kaggle.com/shahules,15,7,9,669,5 years ago,"Kochi, Kerala, India",17.0,12.0,38,947,18.0,96.0,Notebooks Grandmaster
Ayush Thakur,97,master,https://www.kaggle.com/ayuraj,7,15,26,656,4 years ago,"Kolkata, West Bengal, India",13.0,34.0,67,321,58.0,97.0,Notebooks Master
Yirun Zhang,98,grandmaster,https://www.kaggle.com/gogo827jz,18,12,14,653,3 years ago,"London, England, United Kingdom",25.0,16.0,55,"1,137",23.0,98.0,Notebooks Grandmaster
Michal Bogacz,99,grandmaster,https://www.kaggle.com/michau96,16,13,5,647,4 years ago,"Gdańsk, Pomeranian Voivodeship, Poland",25.0,18.0,34,"1,414",71.0,99.0,Notebooks Grandmaster
C4rl05/V,100,master,https://www.kaggle.com/cv13j0,3,13,29,638,6 years ago,"Battle Mountain, Nevada, United States",41.0,6.0,48,"1,518",96.0,101.0,Notebooks Master
Pavan Sanagapati,101,master,https://www.kaggle.com/pavansanagapati,9,3,8,634,5 years ago,"Bengaluru, Karnataka, India",1.0,16.0,24,360,32.0,102.0,Notebooks Master
Gerry,102,expert,https://www.kaggle.com/gpiosenka,0,0,42,634,4 years ago,"Scottsdale, Arizona, United States",2.0,19.0,550,161,99.0,100.0,Datasets Expert
Mohamed Bakrey,103,master,https://www.kaggle.com/mohamedbakrey,2,16,58,634,2 years ago,"6th of October City, Giza Governorate, Egypt",13.0,12.0,95,"1,522",90.0,103.0,Notebooks Master
Kostiantyn Isaienkov,104,grandmaster,https://www.kaggle.com/isaienkov,19,10,22,624,6 years ago,"Kharkiv, Kharkiv Oblast, Ukraine",44.0,5.0,54,319,8.0,104.0,Notebooks Grandmaster
Slawek Biel,105,master,https://www.kaggle.com/slawekbiel,7,7,6,620,4 years ago,"Kraków, Lesser Poland Voivodeship, Poland",7.0,11.0,21,340,48.0,105.0,Competitions Master
yone-moto,106,master,https://www.kaggle.com/tyonemoto,2,25,9,614,2 years ago,"Ikeda, Osaka, Japan",16.0,,38,326,85.0,107.0,Notebooks Master
Giba,107,grandmaster,https://www.kaggle.com/titericz,17,18,29,613,10 years ago,"Curitiba, State of Paraná, Brazil",245.0,20.0,114,986,23.0,106.0,Competitions Grandmaster
bexgboost,108,master,https://www.kaggle.com/bextuychiev,12,6,4,609,3 years ago,"Andijan, Andijan region, Uzbekistan",3.0,,22,286,55.0,108.0,Notebooks Master
Paulo Pinto,109,grandmaster,https://www.kaggle.com/paulorzp,16,16,35,606,7 years ago,"Rio de Janeiro, State of Rio de Janeiro, Brazil",167.0,2.0,93,290,17.0,109.0,Notebooks Grandmaster
Arezoo Dahesh,110,master,https://www.kaggle.com/arezoodahesh,12,4,0,606,2 years ago,"Isfahan, Isfahan Province, Iran",2.0,,16,"1,271",98.0,110.0,Notebooks Master
Yury Kashnitsky,111,grandmaster,https://www.kaggle.com/kashnitsky,16,18,31,599,9 years ago,"Amsterdam, North Holland, Netherlands",49.0,14.0,91,686,21.0,114.0,Notebooks Grandmaster
des.,112,master,https://www.kaggle.com/desalegngeb,7,15,8,596,2 years ago,"Arnhem-Nijmegen Metropolitan Area, Gelderland, Netherlands",16.0,,30,"1,333",98.0,116.0,Notebooks Master
Ekrem Bayar,113,grandmaster,https://www.kaggle.com/ekrembayar,16,6,16,595,5 years ago,"İstanbul, İstanbul, Turkey",12.0,11.0,42,867,54.0,115.0,Notebooks Grandmaster
Chris X,114,master,https://www.kaggle.com/docxian,0,12,110,595,5 years ago,"Munich, Bavaria, Germany",88.0,2.0,189,203,88.0,113.0,Notebooks Master
Sourav Banerjee,115,master,https://www.kaggle.com/iamsouravbanerjee,11,0,0,594,2 years ago,"Kolkata, West Bengal, India",,19.0,11,"1,067",111.0,112.0,Datasets Grandmaster
DimitreOliveira,116,grandmaster,https://www.kaggle.com/dimitreoliveira,16,12,23,592,5 years ago,"Campina Grande, State of Paraíba, Brazil",35.0,37.0,58,"1,180",40.0,118.0,Notebooks Grandmaster
corochann,117,grandmaster,https://www.kaggle.com/corochann,16,5,10,588,7 years ago,"Tokyo, Tokyo, Japan",16.0,17.0,41,623,22.0,119.0,Notebooks Grandmaster
AvikumarT,118,master,https://www.kaggle.com/avikumart,4,10,10,586,a year ago,"Surat, Gujarat, India",2.0,4.0,25,755,116.0,117.0,Notebooks Master
Alin Cijov,119,grandmaster,https://www.kaggle.com/alincijov,15,0,40,585,2 years ago,"Montreal, Quebec, Canada",42.0,26.0,158,"1,181",79.0,120.0,Notebooks Grandmaster
Fahad Mehfooz,120,grandmaster,https://www.kaggle.com/fahadmehfoooz,15,5,0,585,2 years ago,"Delhi, Delhi, India",5.0,,20,369,65.0,121.0,Notebooks Grandmaster
Lonnie,121,master,https://www.kaggle.com/lonnieqin,2,10,43,584,3 years ago,"Guangzhou, Guangdong Province, China",50.0,22.0,130,344,79.0,123.0,Notebooks Master
Iafoss,122,grandmaster,https://www.kaggle.com/iafoss,19,2,9,583,5 years ago,"Gaithersburg, Maryland, United States",33.0,27.0,39,"1,255",16.0,122.0,Competitions Grandmaster
Hamza,123,master,https://www.kaggle.com/hamzaghanmi,8,10,9,581,3 years ago,"Bizerte, Bizerte, Tunisia",34.0,5.0,27,496,82.0,124.0,Notebooks Master
Erik Bruin,124,grandmaster,https://www.kaggle.com/erikbruin,15,2,0,576,5 years ago,"Amsterdam, North Holland, Netherlands",3.0,2.0,17,970,26.0,125.0,Notebooks Grandmaster
Sharlto Cope,125,grandmaster,https://www.kaggle.com/dwin183287,16,2,1,571,9 years ago,"Jakarta, Jakarta, Indonesia",13.0,1.0,19,"1,931",41.0,126.0,Notebooks Grandmaster
Peter,126,grandmaster,https://www.kaggle.com/pestipeti,18,15,7,569,6 years ago,"Budapest, Hungary",27.0,4.0,47,608,15.0,127.0,Notebooks Grandmaster
Robin S.,127,grandmaster,https://www.kaggle.com/heyrobin,15,0,0,565,2 years ago,"New Delhi, Delhi, India",6.0,8.0,15,"1,012",104.0,128.0,Notebooks Grandmaster
VK,128,master,https://www.kaggle.com/venkatkumar001,1,10,38,563,2 years ago,"Madurai, Tamil Nadu, India",49.0,14.0,58,656,115.0,130.0,Notebooks Master
Serigne,129,expert,https://www.kaggle.com/serigne,2,1,3,562,6 years ago,"Paris, Île-de-France, France",59.0,27.0,7,"1,243",21.0,129.0,Discussion Grandmaster
Abir CHakraborty,130,master,https://www.kaggle.com/ac1414,3,12,0,562,9 months ago,"Chandannagar, West Bengal, India",5.0,5.0,15,658,129.0,132.0,Notebooks Master
Anisotropic,131,grandmaster,https://www.kaggle.com/arthurtok,16,4,3,561,6 years ago,"London, England, United Kingdom",12.0,,29,308,1.0,133.0,Notebooks Grandmaster
JeongBin Park,132,master,https://www.kaggle.com/jeongbinpark,5,22,23,560,2 years ago,"Incheon, Incheon, South Korea",45.0,2.0,62,687,74.0,134.0,Notebooks Master
Khashayar Rahimi,133,master,https://www.kaggle.com/khashayarrahimi94,10,0,0,559,9 months ago,,5.0,,10,"1,045",129.0,131.0,Notebooks Master
M. Gagan Chandra,134,master,https://www.kaggle.com/gaganmaahi224,4,21,16,557,2 years ago,"Majitar, Sikkim, India",5.0,5.0,50,714,56.0,135.0,Notebooks Master
Tarun Paparaju,135,grandmaster,https://www.kaggle.com/tarunpaparaju,17,7,10,555,5 years ago,"Amherst, Massachusetts, United States",38.0,4.0,70,391,9.0,136.0,Notebooks Grandmaster
Varun Sai Kanuri,136,master,https://www.kaggle.com/varunsaikanuri,6,5,1,542,9 months ago,"Peravali, Andhra Pradesh, India",,3.0,12,"1,091",,111.0,Notebooks Master
Torch me,137,master,https://www.kaggle.com/kartushovdanil,6,6,2,522,2 years ago,"Moscow, Russia",7.0,1.0,14,656,115.0,137.0,Notebooks Master
Padmavathi D,138,master,https://www.kaggle.com/aishwarya2210,10,5,1,522,10 months ago,"Chennai, Tamil Nadu, India",4.0,,16,680,123.0,138.0,Notebooks Master
Nicholas Broad,139,master,https://www.kaggle.com/nbroad,7,5,10,519,3 years ago,"San Francisco, California, United States",8.0,40.0,34,550,116.0,140.0,Notebooks Master
Abhinand,140,master,https://www.kaggle.com/abhinand05,7,6,0,516,4 years ago,"Coimbatore, Tamil Nadu, India",13.0,6.0,13,262,39.0,142.0,Notebooks Master
Pavithra Devi M,141,master,https://www.kaggle.com/ninjaac,6,10,11,515,3 years ago,"Dindigul, Tamil Nadu, India",8.0,,27,936,117.0,139.0,Notebooks Master
Anubhav Goyal,142,master,https://www.kaggle.com/anubhavgoyal10,2,14,1,512,9 months ago,"Kaithal, Haryana, India",3.0,3.0,17,294,,141.0,Notebooks Master
Mark Wijkhuizen,143,master,https://www.kaggle.com/markwijkhuizen,5,11,15,510,3 years ago,"Nijmegen, Gelderland, Netherlands",21.0,62.0,42,159,132.0,143.0,Notebooks Master
Konstantin Yakovlev,144,grandmaster,https://www.kaggle.com/kyakovlev,17,14,10,494,4 years ago,"Cascais, Lisbon, Portugal",20.0,3.0,41,860,5.0,148.0,Notebooks Grandmaster
Siddharth Yadav,145,master,https://www.kaggle.com/thebrownviking20,6,7,8,493,5 years ago,"Gurugram, Haryana, India",16.0,1.0,21,500,27.0,146.0,Notebooks Master
Ram Jas,146,master,https://www.kaggle.com/ramjasmaurya,3,9,16,492,2 years ago,"Delhi, Delhi, India",9.0,64.0,28,914,145.0,147.0,Datasets Master
,147,master,https://www.kaggle.com/hengck23,5,13,8,491,9 years ago,Singapore,64.0,18.0,30,"5,754",139.0,150.0,Discussion Grandmaster
Sugata Ghosh,148,master,https://www.kaggle.com/sugataghosh,5,6,5,490,2 years ago,"Kolkata, West Bengal, India",2.0,2.0,16,575,,144.0,Notebooks Master
kkiller,149,master,https://www.kaggle.com/kneroma,8,14,9,488,5 years ago,"Paris, Île-de-France, France",48.0,44.0,43,423,35.0,151.0,Competitions Master
