Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Peter Hahn,1939,expert,https://www.kaggle.com/pehahn,0,0,11,52,8 years ago,"Bad Rappenau, Baden-Württemberg, Germany",18.0,,18,115,778.0,1979.0,Notebooks Expert
Soumik Rakshit,1940,expert,https://www.kaggle.com/soumikrakshit,0,1,7,52,5 years ago,"San Francisco, California, United States",15.0,36.0,28,31,1592.0,1982.0,Datasets Expert
Marian Svatko,1941,expert,https://www.kaggle.com/marian447,0,0,12,52,5 years ago,"Košice, Košice Region, Slovakia",,1.0,14,62,1031.0,1983.0,Notebooks Expert
Jacopo Repossi,1942,expert,https://www.kaggle.com/jacoporepossi,0,1,5,52,4 years ago,"Milan, Lombardy, Italy",15.0,,7,151,1179.0,1952.0,Notebooks Expert
Amritvir Singh,1943,expert,https://www.kaggle.com/amritvirsinghx,0,5,7,52,4 years ago,"Phagwara, Punjab, India",1.0,5.0,19,459,263.0,1985.0,Datasets Expert
Ho Loong,1944,expert,https://www.kaggle.com/holoong9291,0,0,11,52,4 years ago,"Shenzhen, Guangdong Province, China",14.0,6.0,44,102,1050.0,1955.0,Notebooks Expert
Sarthak Vajpayee,1945,expert,https://www.kaggle.com/sarthakvajpayee,0,3,8,52,4 years ago,"Noida, Uttar Pradesh, India",,9.0,13,9,501.0,1988.0,Notebooks Expert
Vatsal Parsaniya,1946,expert,https://www.kaggle.com/vatsalparsaniya,1,2,5,52,4 years ago,"Bengaluru, Karnataka, India",10.0,7.0,16,43,311.0,1957.0,Competitions Expert
Salim Ben Hammadi,1947,expert,https://www.kaggle.com/salimhammadi07,0,0,8,52,3 years ago,"Ariana, Ariana, Tunisia",3.0,6.0,11,7,1706.0,1958.0,Notebooks Expert
cWayne,1948,expert,https://www.kaggle.com/thecansin,0,2,14,52,3 years ago,"Adana, Adana, Turkey",,4.0,61,118,252.0,1959.0,Notebooks Expert
Nisa Soylu,1949,expert,https://www.kaggle.com/nisasoylu,0,1,11,52,3 years ago,"İstanbul, İstanbul, Turkey",,,30,12,515.0,1989.0,Notebooks Expert
Vasileios Konstantakos,1950,expert,https://www.kaggle.com/vkonstantakos,0,1,6,52,3 years ago,"Athens, Greece",20.0,9.0,20,46,1634.0,1960.0,Notebooks Expert
Ahmet Can Karaoglan,1951,expert,https://www.kaggle.com/ahmetcankaraolan,0,3,7,52,3 years ago,"Boston, Massachusetts, United States",2.0,2.0,10,22,632.0,1961.0,Notebooks Expert
TAUIL Abd Elilah,1952,expert,https://www.kaggle.com/tauilabdelilah,0,0,7,52,3 years ago,"Fnideq, Tangier-Tétouan-Al Hoceima, Morocco",24.0,4.0,12,34,1827.0,1991.0,Notebooks Expert
Yaser Girit,1953,expert,https://www.kaggle.com/yasergirit,0,1,4,52,3 years ago,"İstanbul, İstanbul, Turkey",1.0,1.0,7,13,1836.0,1995.0,Notebooks Expert
Daniboy370,1954,expert,https://www.kaggle.com/daniboy370,1,4,4,52,3 years ago,"Tel Aviv-Yafo, Tel Aviv District, Israel",1.0,3.0,9,272,297.0,1996.0,Datasets Expert
Ananta Raj,1955,expert,https://www.kaggle.com/vortexkol,0,1,9,52,2 years ago,"Jamshedpur, Jharkhand, India",6.0,,75,171,536.0,1965.0,Notebooks Expert
